Date,No of Lots,VIX,Max Debit,Profit,Exit,NAV,nf nav,Open,High,Low,Close,Volume,Nifty_pct,Nifty_HOL
13/01/21,10,23.2,65000,-10650,2:00:00,1334998,659998,14639.8,14653.35,14435.7,14564.85,0,0.01516667,836888.5697
14/01/21,10,23,74800,437,2:30:00,1335435,660435,14550.05,14617.8,14471.5,14595.6,0,0.002111247,838655.4484
15/01/21,10,24,16625,-4400,9:35:00,1331035,656035,14594.35,14617.45,14357.85,14433.7,0,-0.011092384,829352.7601
20/01/21,10,22.1,151300,-3270,3:25:00,1327765,652765,14538.3,14666.45,14517.55,14644.7,0,0.014618566,841476.7084
20/01/21,10,22.1,151300,-3270,3:25:00,1324495,649495,14538.3,14666.45,14517.55,14644.7,0,0,841476.7084
21/01/21,10,22.4,160000,14700,2:30:00,1339195,664195,14730.95,14753.55,14517.25,14590.35,0,-0.00371124,838353.7862
22/01/21,10,22.4,98000,-16100,11:10:00,1323095,648095,14583.4,14619.9,14357.75,14371.9,0,-0.014972225,825801.7648
27/01/21,10,24.3,112800,18100,11:40:00,1341195,666195,14237.95,14237.95,13929.3,13967.5,0,-0.028138242,802565.1549
28/01/21,10,24.4,143000,22100,2:00:00,1363295,688295,13810.4,13898.25,13713.25,13817.55,0,-0.010735636,793949.1073
29/01/21,10,25.3,47800,-9190,9:35:00,1354105,679105,13946.6,13966.85,13596.75,13634.6,0,-0.013240408,783436.8972
03/02/21,10,23.1,86800,7800,3:25:00,1361905,686905,14754.9,14868.85,14574.15,14789.95,0,0.084736626,849822.6965
04/02/21,10,23.1,99500,1020,2:30:00,1362925,687925,14789.05,14913.7,14714.75,14895.65,0,0.007146745,855896.1625
05/02/21,10,23.1,34650,-5800,10:20:00,1357125,682125,14952.6,15014.65,14864.75,14924.25,0,0.001920024,857539.5034
10/02/21,10,23.9,62700,11800,9:55:00,1368925,693925,15119.05,15168.25,14977.2,15106.5,0,0.012211669,868011.4919
11/02/21,10,23,82500,1650,2:30:00,1370575,695575,15073.25,15188.5,15065.4,15173.3,0,0.004421938,871849.7845
12/02/21,10,22.1,21675,3515,9:45:00,1374090,699090,15186.2,15243.5,15081,15163.3,0,-0.000659052,871275.1898
17/02/21,10,21.4,133500,3900,3:25:00,1377990,702990,15279.9,15314.3,15170.75,15208.9,0,0.003007261,873895.3417
18/02/21,10,21.5,126000,-19000,12:10:00,1358990,683990,15238.7,15250.75,15078.05,15118.95,0,-0.0059143,868726.8623
19/02/21,10,22.5,81600,15300,3:10:00,1374290,699290,15074.8,15144.05,14898.2,14981.75,0,-0.009074704,860843.4229
19/02/21,10,22.5,81600,15300,3:10:00,1389590,714590,15074.8,15144.05,14898.2,14981.75,0,0,860843.4229
24/02/21,10,24.1,118500,-2300,3:25:00,1387290,712290,14729.15,15008.8,14723.05,14982,0,1.67E-05,860857.7878
25/02/21,10,22.9,138000,19075,2:20:00,1406365,731365,15079.85,15176.5,15065.35,15097.35,0,0.007699239,867485.7377
26/02/21,10,28.2,23750,-5110,9:30:00,1401255,726255,14888.6,14919.45,14467.75,14529.15,0,-0.037635744,834837.2666
03/03/21,10,22,97800,-14800,3:00:00,1386455,711455,15064.4,15273.15,14995.8,15245.6,0,0.049311212,876004.1042
04/03/21,10,24.1,125000,19500,10:05:00,1405955,730955,15026.75,15202.35,14980.2,15080.75,0,-0.010812956,866531.9105
05/03/21,10,25.5,38300,5950,9:55:00,1411905,736905,14977.95,15092.35,14862.1,14938.1,0,-0.009459079,858335.3171
09/03/21,10,22.5,79300,13400,2:50:00,1425305,750305,15049.9,15126.85,14925.45,15098.4,0,0.01073095,867546.0702
10/03/21,10,20.7,96000,14100,1:40:00,1439405,764405,15202.15,15218.45,15100.85,15174.8,0,0.005060139,871935.9737
12/03/21,10,21.7,17600,-3650,9:40:00,1435755,760755,15321.15,15336.3,14953.6,15030.95,0,-0.009479532,863670.4289
18/03/21,10,19.5,130000,-26100,1:20:00,1409655,734655,14855.5,14875.2,14478.6,14557.85,0,-0.031475056,836486.3534
19/03/21,10,19.9,46825,7880,10:25:00,1417535,742535,14471.15,14788.25,14350.1,14744,0,0.012786916,847182.4338
24/03/21,10,22.4,97000,14700,1:45:00,1432235,757235,14712.45,14752.35,14535,14549.4,0,-0.013198589,836000.8208
25/03/21,10,23,129000,-19350,1:50:00,1412885,737885,14570.9,14575.6,14264.4,14324.9,0,-0.01543019,823101.1697
26/03/21,10,20.7,61100,10200,1:35:00,1423085,748085,14506.3,14572.9,14414.25,14507.3,0,0.012733073,833581.7771
31/03/21,10,20.6,88250,14400,11:45:00,1437485,762485,14811.85,14813.75,14670.25,14690.7,0,0.012641911,844119.844
31/03/21,10,20.6,88250,14400,11:45:00,1451885,776885,14811.85,14813.75,14670.25,14690.7,0,0,844119.844
01/04/21,10,20,117500,-21787,10:55:00,1430098,755098,14798.4,14883.2,14692.45,14867.35,0,0.012024614,854270.0595
07/04/21,10,20.2,75900,11200,3:15:00,1441298,766298,14716.45,14879.8,14649.85,14819.05,0,-0.00324873,851494.7671
08/04/21,10,20,96000,15100,2:15:00,1456398,781398,14875.65,14984.15,14821.1,14873.8,0,0.003694569,854640.6731
09/04/21,10,19.7,32225,5250,10:15:00,1461648,786648,14882.65,14918.45,14785.65,14834.85,0,-0.002618699,852402.6267
15/04/21,10,20.8,78000,-11600,10:45:00,1450048,775048,14522.4,14597.55,14353.2,14581.45,0,-0.0170814,837842.3969
16/04/21,10,20.4,15150,2560,9:50:00,1452608,777608,14599.6,14697.7,14559,14617.85,0,0.002496322,839933.9216
21/04/21,10,24.3,142600,23200,11:30:00,1475808,800808,,,,,,0,839933.9216
22/04/21,10,23,143000,23500,11:30:00,1499308,824308,14219.15,14424.75,14151.4,14406.15,0,-0.014482294,827769.7517
23/04/21,10,22.7,70400,3200,3:25:00,1502508,827508,14326.35,14461.15,14273.3,14341.35,0,-0.004498079,824046.378
28/04/21,10,22.5,118900,2200,3:25:00,1504708,829708,14710.5,14890.25,14694.95,14864.55,0,0.036481921,854109.173
29/04/21,10,22.25,131000,-19100,9:55:00,1485608,810608,14979,15044.35,14814.45,14894.9,0,0.002041771,855853.0679
30/04/21,10,23.02,62650,9200,1:15:00,1494808,819808,14747.35,14855.45,14601.7,14631.1,0,-0.01771076,840695.2596
30/04/21,10,23.02,62650,9200,1:15:00,1504008,829008,14747.35,14855.45,14601.7,14631.1,0,0,840695.2596
05/05/21,10,21.9,90500,4075,3:25:00,1508083,833083,14604.15,14637.9,14506.6,14617.85,0,-0.000905605,839933.9216
06/05/21,10,21.9,109000,11250,2:30:00,1519333,844333,14668.35,14743.9,14611.5,14724.8,0,0.007316397,846079.212
07/05/21,10,20.8,47500,125,3:25:00,1519458,844458,14816.85,14863.05,14765.5,14823.15,0,0.006679208,851730.3509
12/05/21,10,20,88000,14000,12:45:00,1533458,858458,14823.55,14824.05,14649.7,14696.5,0,-0.008544068,844453.109
14/05/21,10,20.6,23175,-3920,9:30:00,1529538,854538,14749.4,14749.65,14591.9,14677.8,0,-0.001272412,843378.6169
19/05/21,10,19.3,112700,7450,3:25:00,1536988,861988,15058.6,15133.4,15008.85,15030.15,0,0.024005641,863624.4613
20/05/21,10,19.3,129000,19500,2:05:00,1556488,881488,15042.6,15069.8,14884.9,14906.05,0,-0.008256737,856493.741
20/05/21,10,19.3,129000,19500,2:05:00,1575988,900988,15042.6,15069.8,14884.9,14906.05,0,0,856493.741
21/05/21,10,19.1,78700,700,3:25:00,1576688,901688,14987.8,15190,14985.85,15175.3,0,0.018063135,871964.7035
26/05/21,10,20.8,99300,-510,3:25:00,1576178,901178,15257.05,15319.9,15194.95,15301.45,0,0.00831285,879213.2157
27/05/21,10,21,113000,11335,2:30:00,1587513,912513,15323.95,15384.55,15272.5,15337.85,0,0.00237886,881304.7404
28/05/21,10,17.4,54900,1260,3:25:00,1588773,913773,15421.2,15469.65,15394.75,15435.65,0,0.006376383,886924.2766
02/06/21,10,17.2,67200,4350,3:25:00,1593123,918123,15520.35,15597.45,15459.85,15576.2,0,0.009105545,895000.2052
03/06/21,10,15.9,78000,11200,1:50:00,1604323,929323,15655.55,15705.1,15611,15690.35,0,0.007328488,901559.2038
04/06/21,10,15.9,24400,4120,10:00:00,1608443,933443,15712.5,15733.6,15622.35,15670.25,0,-0.001281042,900404.2684
09/06/21,10,15,46500,6800,11:25:00,1615243,940243,15766.3,15800.45,15566.9,15635.35,0,-0.00222715,898398.9329
09/06/21,10,15,46500,6800,11:25:00,1622043,947043,15766.3,15800.45,15566.9,15635.35,0,0,898398.9329
10/06/21,10,15,58000,8700,1:10:00,1630743,955743,15692.1,15751.25,15648.5,15737.75,0,0.006549262,904282.7827
11/06/21,10,14.1,11400,1820,9:40:00,1632563,957563,15796.45,15835.55,15749.8,15799.35,0,0.003914155,907822.2861
16/06/21,10,14.9,96600,-13400,1:05:00,1619163,944163,15847.5,15880.85,15742.6,15767.55,0,-0.002012741,905995.0749
17/06/21,10,15,108000,18500,11:45:00,1637663,962663,15648.3,15769.35,15616.75,15691.4,0,-0.004829539,901619.5362
18/06/21,10,14.8,71000,-11600,9:45:00,1626063,951063,15756.5,15761.5,15450.9,15683.35,0,-0.00051302,901156.9875
23/06/21,10,15.4,98700,-16700,10:15:00,1609363,934363,15862.8,15862.95,15673.95,15686.95,0,0.000229543,901363.8416
24/06/21,10,15.25,103000,15500,2:30:00,1624863,949863,15737.3,15821.4,15702.7,15790.45,0,0.006597841,907310.8968
25/06/21,10,13.3,58900,9500,2:00:00,1634363,959363,15839.35,15870.8,15772.3,15860.35,0,0.004426726,911327.3138
30/06/21,10,13,61200,9100,9:40:00,1643463,968463,15776.9,15839.1,15708.75,15721.5,0,-0.008754536,903349.0663
01/07/21,10,13.25,80500,13900,2:15:00,1657363,982363,15755.05,15755.55,15667.05,15680,0,-0.002639697,900964.4983
02/07/21,10,12.1,43300,7010,10:10:00,1664373,989373,15705.85,15738.35,15635.95,15722.2,0,0.002691327,903389.2879
07/07/21,10,12.2,53200,8100,2:35:00,1672473,997473,15819.6,15893.55,15779.7,15879.65,0,0.010014502,912436.2816
08/07/21,10,12.5,62500,-10175,12:00:00,1662298,987298,15855.4,15885.75,15682.9,15727.9,0,-0.009556256,903716.8069
09/07/21,10,12.9,28950,4870,10:00:00,1667168,992168,15688.25,15730.85,15632.75,15689.8,0,-0.002422447,901527.6011
09/07/21,10,12.9,28950,4870,10:00:00,1672038,997038,15688.25,15730.85,15632.75,15689.8,0,0,901527.6011
14/07/21,10,12.6,38800,5900,11:20:00,1677938,1002938,15808.7,15877.35,15764.2,15853.95,0,0.010462211,910959.5732
15/07/21,10,12.65,50000,7200,1:00:00,1685138,1010138,15872.15,15952.35,15855,15924.2,0,0.004431072,914996.101
16/07/21,10,11.7,13850,2350,9:40:00,1687488,1012488,15958.35,15962.25,15882.6,15923.4,0,-5.02E-05,914950.1334
21/07/21,10,12.5,87100,13200,2:20:00,1700688,1025688,,,,,,0,914950.1334
23/07/21,10,11.8,49800,-8280,9:35:00,1692408,1017408,15856.8,15899.8,15768.4,15856.05,0,-0.004229624,911080.238
28/07/21,10,13.7,67850,-10300,11:05:00,1682108,1007108,15761.55,15767.5,15513.45,15709.4,0,-0.009248836,902653.8067
29/07/21,10,13.1,81500,6300,2:30:00,1688408,1013408,15762.7,15817.35,15737.8,15778.45,0,0.004395457,906621.3831
29/07/21,10,13.1,81500,6300,2:30:00,1694708,1019708,15762.7,15817.35,15737.8,15778.45,0,0,906621.3831
30/07/21,10,12.8,43400,2120,3:25:00,1696828,1021828,15800.6,15862.8,15744.85,15763.05,0,-0.000976015,905736.5073
04/08/21,10,13.2,52800,7950,2:15:00,1704778,1029778,16195.25,16290.2,16176.15,16258.8,0,0.031450132,934222.0398
05/08/21,10,13,65000,10100,12:45:00,1714878,1039878,16288.95,16349.45,16210.3,16294.6,0,0.002201885,936279.0889
06/08/21,10,12.6,16900,2750,10:10:00,1717628,1042628,16304.4,16336.75,16223.3,16238.2,0,-0.003461269,933038.3747
11/08/21,10,12.7,39100,-6200,10:35:00,1711428,1036428,16327.3,16338.75,16162.55,16282.25,0,0.002712739,935569.4644
12/08/21,10,17.2,51500,8400,2:15:00,1719828,1044828,16303.65,16375.5,16286.9,16364.4,0,0.005045371,940289.7599
13/08/21,10,13,14850,2250,11:00:00,1722078,1047078,16385.7,16543.6,16376.3,16529.09,0,0.010063919,949752.7601
18/08/21,10,13.25,105000,-17500,1:00:00,1704578,1029578,16691.95,16701.85,16535.84,16568.84,0,0.002404851,952036.7741
18/08/21,10,13.25,105000,-17500,1:00:00,1687078,1012078,16691.95,16701.85,16535.84,16568.84,0,0,952036.7741
20/08/21,10,14,50500,7830,11:20:00,1694908,1019908,16382.5,16509.55,16376.05,16450.5,0,-0.007142323,945237.0203
25/08/21,10,13.4,74500,7200,3:25:00,1702108,1027108,16654,16712.45,16617.5,16634.65,0,0.011194189,955818.1818
26/08/21,10,13.65,89500,12600,2:30:00,1714708,1039708,16627.95,16683.7,16603.4,16636.9,0,0.00013526,955947.4656
27/08/21,10,13.4,49400,3960,3:25:00,1718668,1043668,16642.55,16722.05,16565.59,16705.2,0,0.004105332,959871.9475
01/09/21,10,14.2,75300,-600,3:25:00,1718068,1043068,17185.59,17225.75,17055.05,17076.25,0,0.022211647,981192.284
02/09/21,10,13.8,83000,-1785,2:30:00,1716283,1041283,17095.4,17245.5,17059.7,17234.15,0,0.009246761,990265.1344
03/09/21,10,14.5,38950,5940,1:35:00,1722223,1047223,17262.45,17340.1,17212.2,17323.59,0,0.005189696,995404.3095
08/09/21,10,14.4,62700,7200,3:25:00,1729423,1054423,17375.75,17383.4,17254.2,17353.5,0,0.001726547,997122.9222
09/09/21,10,14.15,76000,9800,2:30:00,1739223,1064223,17312.84,17379.65,17302.7,17369.25,0,0.000907598,998027.9089
15/09/21,10,13.7,42200,-2800,3:25:00,1736423,1061423,17387.65,17532.7,17386.9,17519.45,0,0.008647466,1006658.321
16/09/21,10,13.75,58500,8300,12:15:00,1744723,1069723,17539.2,17644.6,17510.45,17629.5,0,0.00628159,1012981.736
17/09/21,10,15.2,12950,2400,9:50:00,1747123,1072123,17709.65,17792.95,17537.65,17585.15,0,-0.00251567,1010433.409
17/09/21,10,15.2,12950,2400,9:50:00,1749523,1074523,17709.65,17792.95,17537.65,17585.15,0,0,1010433.409
22/09/21,10,16.5,106800,1850,3:25:00,1751373,1076373,17580.9,17610.45,17524,17546.65,0,-0.002189347,1008221.219
23/09/21,10,15.8,127000,-1350,2:30:00,1750023,1075023,17670.84,17843.9,17646.55,17822.95,0,0.015746596,1024097.271
24/09/21,10,16.9,76950,7700,3:25:00,1757723,1082723,17897.45,17947.65,17819.4,17853.2,0,0.00169725,1025835.42
29/09/21,10,18.8,123300,6600,3:25:00,1764323,1089323,17657.95,17781.75,17608.15,17711.3,0,-0.007948155,1017681.921
30/09/21,10,19,133000,13300,2:30:00,1777623,1102623,17718.9,17742.15,17585.34,17618.15,0,-0.005259354,1012329.571
01/10/21,10,17.2,63550,9200,3:25:00,1786823,1111823,17531.9,17557.15,17452.9,17532.05,0,-0.004887006,1007382.311
06/10/21,10,17.3,89700,-14100,2:20:00,1772723,1097723,17861.5,17884.6,17613.15,17646,0,0.006499525,1013929.817
07/10/21,10,16.5,103000,1250,2:30:00,1773973,1098973,17810.55,17857.55,17763.8,17790.34,0,0.008179757,1022223.517
07/10/21,10,16.5,103000,1250,2:30:00,1775223,1100223,17810.55,17857.55,17763.8,17790.34,0,0,1022223.517
08/10/21,10,15.6,43200,3100,3:25:00,1778323,1103323,17886.84,17941.85,17840.34,17895.2,0,0.00589421,1028248.717
13/10/21,10,16.1,56700,4050,3:25:00,1782373,1107373,18097.84,18197.8,18050.75,18161.75,0,0.014895056,1043564.539
14/10/21,10,16.15,81500,-3850,2:30:00,1778523,1103523,18272.84,18350.75,18248.7,18338.55,0,0.009734745,1053723.374
20/10/21,10,18.3,118500,18200,3:25:00,1796723,1121723,18439.9,18458.3,18209.34,18266.59,0,-0.003923974,1049588.59
21/10/21,10,18.15,121000,-19200,10:55:00,1777523,1102523,18382.7,18384.2,18048,18178.09,0,-0.004844911,1044503.427
22/10/21,10,17.5,79125,-13800,1:15:00,1763723,1088723,18230.7,18314.25,18034.34,18114.9,0,-0.003476163,1040872.563
27/10/21,10,16.8,99600,8900,3:25:00,1772623,1097623,18295.84,18342.05,18167.9,18210.95,0,0.005302265,1046391.545
27/10/21,10,16.8,99600,8900,3:25:00,1781523,1106523,18295.84,18342.05,18167.9,18210.95,0,0,1046391.545
28/10/21,10,17,113500,-18100,2:00:00,1763423,1088423,18187.65,18190.7,17799.45,17857.25,0,-0.01942238,1026068.131
29/10/21,10,17.4,63350,10200,3:15:00,1773623,1098623,17833.05,17915.85,17613.09,17671.65,0,-0.010393538,1015403.653
03/11/21,10,16.5,94000,-14650,2:30:00,1758973,1083973,17947.95,17988.75,17757.95,17829.2,0,0.00891541,1024456.392
10/11/21,10,16.3,54500,5800,3:25:00,1764773,1089773,17973.45,18061.25,17915,18017.2,0,0.0105445,1035258.773
11/11/21,10,16.5,71500,2800,2:30:00,1767573,1092573,17967.45,17971.35,17798.2,17873.59,0,-0.007970717,1027007.018
12/11/21,10,15.2,14700,2610,9:55:00,1770183,1095183,17977.59,18123,17905.9,18102.75,0,0.012821151,1040174.431
17/11/21,10,14.9,98200,8100,3:25:00,1778283,1103283,17939.34,18022.65,17879.25,17898.65,0,-0.01127453,1028446.953
18/11/21,10,14.5,106500,-16200,10:10:00,1762083,1087083,17890.55,17945.6,17688.5,17764.8,0,-0.007478218,1020756.002
24/11/21,10,17.1,93100,-7700,3:25:00,1754383,1079383,17550.05,17600.6,17354,17415.05,0,-0.01968781,1000659.553
25/11/21,10,16,108500,-3400,2:30:00,1750983,1075983,17417.3,17564.35,17351.7,17536.25,0,0.006959498,1007623.64
26/11/21,10,20.8,58300,-9230,10:45:00,1741753,1066753,17338.75,17355.4,16985.7,17026.45,0,-0.02907121,978330.8024
26/11/21,10,20.8,58300,-9230,10:45:00,1732523,1057523,17338.75,17355.4,16985.7,17026.45,0,0,978330.8024
01/12/21,10,19.5,92150,13800,2:30:00,1746323,1071323,17104.4,17213.05,17064.25,17166.9,0,0.00824893,986400.985
02/12/21,10,19.75,108500,-2875,2:30:00,1743448,1068448,17183.2,17420.35,17149.3,17401.65,0,0.013674571,999889.5957
03/12/21,10,18.4,44025,-6900,12:45:00,1736548,1061548,17424.9,17489.8,17180.8,17196.7,0,-0.011777619,988113.2772
08/12/21,10,17.2,71600,5850,3:25:00,1742398,1067398,17315.25,17484.6,17308.95,17469.75,0,0.015878046,1003802.586
09/12/21,10,16.5,83000,14100,2:25:00,1756498,1081498,17524.4,17543.25,17379.59,17516.84,0,0.002695517,1006508.352
10/12/21,10,16.1,23625,4100,10:55:00,1760598,1085598,17476.05,17534.35,17405.25,17511.3,0,-0.000316267,1006190.027
15/12/21,10,17.2,52550,8300,1:20:00,1768898,1093898,17323.65,17351.2,17192.2,17221.4,0,-0.016555024,989532.5262
16/12/21,10,16.5,69000,-10700,11:35:00,1758198,1083198,17373,17379.35,17184.95,17248.4,0,0.001567817,991083.9319
16/12/21,10,16.5,69000,-10700,11:35:00,1747498,1072498,17373,17379.35,17184.95,17248.4,0,0,991083.9319
17/12/21,10,16.3,6500,-1640,9:55:00,1745858,1070858,17276,17298.15,16966.45,16985.2,0,-0.015259386,975960.5992
22/12/21,10,16.6,102050,4030,3:25:00,1749888,1074888,16865.55,16971,16819.5,16955.45,0,-0.001751525,974251.18
23/12/21,10,16.25,116000,4700,2:30:00,1754588,1079588,17066.8,17118.65,17015.55,17072.59,0,0.006908693,980981.9824
24/12/21,10,16.1,56050,-8500,9:45:00,1746088,1071088,17149.5,17155.6,16909.59,17003.75,0,-0.004032194,977026.4724
29/12/21,10,16.2,93000,10275,3:25:00,1756363,1081363,17220.09,17285.95,17176.65,17213.59,0,0.012340807,989083.7677
30/12/21,10,16.5,112000,8650,2:30:00,1765013,1090013,17201.45,17264.05,17146.34,17203.95,0,-0.000560023,988529.8584
31/12/21,10,16.2,51000,8280,9:55:00,1773293,1098293,17244.5,17400.8,17238.5,17354.05,0,0.008724741,997154.5249
05/01/22,10,17.2,75700,12175,3:20:00,1785468,1110468,17820.09,17944.7,17748.84,17925.25,0,0.032914507,1029975.375
05/01/22,10,17.2,75700,12175,3:20:00,1797643,1122643,17820.09,17944.7,17748.84,17925.25,0,0,1029975.375
06/01/22,10,17.2,98000,15200,1:35:00,1812843,1137843,17768.5,17797.95,17655.55,17745.9,0,-0.010005439,1019670.018
07/01/22,10,17.6,41050,-8120,12:00:00,1804723,1129723,17797.6,17905,17704.55,17812.7,0,0.00376425,1023508.311
12/01/22,10,16.7,59300,3900,3:25:00,1808623,1133623,18170.4,18227.95,18128.8,18212.35,0,0.022436239,1046471.989
